Comment,Polarity,Subjectivity,Channel
Why are you reacting to a 9 month old event tho,0.1,0.2,Guardian News
praying they have to serve actual jail time,-0.05,0.05,Guardian News
They re way outta wack,0.0,0.0,Guardian News
What does this do to stop oil and how is this going to get people on your side,0.0,0.0,Guardian News
What in the GCSE drama,0.0,0.0,Guardian News
Security,0.0,0.0,Guardian News
There s no climate crisis,0.0,0.0,Guardian News
Yep you have our attention Now we are not going to listen,0.0,0.0,Guardian News
Definitely a game changer Shame the painting is protected,-0.4,0.4,Guardian News
talking about oil when you took all the oil and put it on your head,0.0,0.0,Guardian News
Talks about banning fossil fuels Uses super glue derived from petroleum products,0.3333333333333333,0.6666666666666666,Guardian News
She herself says that food is worth but the act that she has committed says otherwise,0.3,0.1,Guardian News
b Alexa play Talking To Ourselves by Rise Against b,0.0,0.0,Guardian News
This is what happens when labour can t get into power,0.0,0.0,Guardian News
That gut renching b Oi b at the start cracked me up,0.0,0.0,Guardian News
Then what was the purpose of the soup,0.0,0.0,Guardian News
IVE NEVER BEEN SO MORALLY OUTRAGED BY SOUP BEFORE IN ALL MUH DAYS br also the climate crisis is kinda bad,-0.7999999999999999,0.8333333333333333,Guardian News
Heroes,0.0,0.0,Guardian News
Yes I 39 m more concerned about the painting than about the families,0.5,0.5,Guardian News
They didn t do their research on how ironic it is for doing it to that painting,0.2,0.9,Guardian News
THESE TWO HAVE BROUGHT PAINT SO TECHNICALLY THEY ARE DESTROYING THE PLANET TOO,-0.1,0.05,Guardian News
That s what happens when u watch Greta thunburg too much,0.2,0.2,Guardian News
i died at the security part,0.0,0.0,Guardian News
Quick Fix Liked it better before than after,0.4777777777777778,0.6,Guardian News
Boo o oh woa,0.0,0.0,Guardian News
Spoiled kids,0.0,0.0,Guardian News
they are sending the right message but telling in inncorrectly,0.2857142857142857,0.5357142857142857,Guardian News
You can just tell that she spent months rehearsing this Oscar winning performance,0.2,0.425,Guardian News
Can 39 t people just be normal,0.15,0.6499999999999999,Guardian News
I love how it hasn 39 t even been half a year and already everyone has forgotten about this I bet they thought it 39 d be remembered forever No darling this is the internet age Stuff like this is always forgotten about almost instantly,0.11111111111111112,0.4777777777777777,Guardian News
8,0.0,0.0,Guardian News
i She made a valid points i,0.0,0.0,Guardian News
This girl needs a therapist,0.0,0.0,Guardian News
quot S E C U R I T E E quot,0.0,0.0,Guardian News
Paper Glue themselves,0.0,0.0,Guardian News
Van Gogh be like climate change is last things I care about when I myself can 39 t even survive or save myself,0.0,0.06666666666666667,Guardian News
You amp 7 for that And you re worried about people not being able to afford soup and you just waste a can of it on a famous painting,0.26666666666666666,0.5416666666666666,Guardian News
Look at the components br Modern people replete with iconography words reflecting their simple mindedness aim at a CULTURAL ICON that is someone or something whose very creations have not only weathered time but tell a story without words an insight to what life really is the worst part of this happens to be that it even is given a moments recognition because the timeless is what has been infringed upon by the irrelevant,-0.1,0.5321428571428571,Guardian News
So they do know oil paints are made from linseed oil right They know Vincent was himself poor mentally ill and in the end most likely suicidal right They waste food while saying people can 39 t afford that food on a painting created by a poor suffering man I don 39 t know what world these people come from but that 39 s not how you support poor people that 39 s how you spit in their face Vincent has been my hero in more ways than one as an artist and as a person and it hurts me deeply to see someone attempt to damage his work like this All for a message that doesn 39 t even make any sense,-0.029870129870129884,0.5701298701298702,Guardian News
There they go again,0.0,0.0,Guardian News
The irony is strong here They protest they rising cost of fuel but they support the government polices that lead directly to rising cost of fuel,0.26666666666666666,0.5666666666666667,Guardian News
Art,0.0,0.0,Guardian News
a href What was she 39 s doing Right side,0.2857142857142857,0.5357142857142857,Guardian News
The way how that just stop oil protester is talking is funny,0.25,1.0,Guardian News
This is beyond deplorable,-0.6,0.9,Guardian News
They could have just volunteered at a soup kitchen and did community service to pick up garbage instead,0.0,0.0,Guardian News
get a grip girl you lost the plot when you 1 went after Van Gogh a man who was impoverished himself and looked down upon 2 threw soup that families need as you said and 3 when you decided to use super glue as if that s environmentally friendly,0.18425925925925923,0.48518518518518516,Guardian News
Her Many hungry peoples doesn 39 t have fuel br also her STOP MINING THE OIL PRODUCTION,0.5,0.5,Guardian News
Oil for the soup Oil for the food they eat Oil for their clothes etc When are they going to stop using oil It 39 s oil that makes it possible for farms to grow food in such abundance they can just throw food out The hypocrisy is sickening,-0.3,0.8333333333333334,Guardian News
Her pink hair dye was probably made in Singapore by a 12 year old the cobalt in her smart phone mined by a 12 year old in the Congo I m sure they appreciate her valiant demonstration,0.16285714285714287,0.4463492063492064,Guardian News
You can 39 t talk about arts with descendants of the pirates,0.0,0.0,Guardian News
i love how the glue they use is useless and theyre using GLUE A mass produced chemical Hypocrites,0.0,0.4,Guardian News
a href Ayyo Girl on the right side,0.2857142857142857,0.5357142857142857,Guardian News
She won t care anymore once she finds a boyfriend,0.0,0.0,Guardian News
Wasn t Just stop oil founded and operated by an oil baroness,0.0,0.0,Guardian News
THE PAINTING WAS NOT DESTROYED IT WAS PROTECTED BY GLASS WHICH THEY PROBABLY KNEW BEFOREHAND WHY WOULD A MUSEUM DISPLAY THEIR ARTWORKS WITHOUT PROPER SAFETY MEASURES USE COMMON SENSE HERE THE EARTH IS SO MUCH MORE WORTH YOUR ANGER THAN ONE INCONSEQUENTIAL DISPLAY OF DISRESPECT TO RAISE AWARENESS IN A PROTECTED ENVIRONMENT GROW UP GET OVER YOURSELVES THINGS ARE NOT MORE IMPORTANT THAN LIFE,-0.007142857142857133,0.4142857142857143,Guardian News
Women,0.0,0.0,Guardian News
Their skull structure is spot on for their intelligence lol,0.8,0.7,Guardian News
vadalisim action involving deliberate destruction of or damage to public or private property br quot an act of mindless vandalism quot,-0.025,0.3604166666666667,Guardian News
You did it congrats Everyone sleeping br Your time will come,0.0,0.0,Guardian News
My friends and I still quote quot security quot br br What a legend,0.0,0.0,Guardian News
Poor people could have had that soup,-0.4,0.6,Guardian News
Splashing soup to just say some sentences br Noted as faith in humanity,0.0,0.0,Guardian News
Luckily there is glass,0.3333333333333333,0.8333333333333334,Guardian News
Its slop,0.0,0.0,Guardian News
Justin stopped OINK,0.0,0.0,Guardian News
Ah yes Van Gogh well known perpetrator of big oil,0.0,0.1,Guardian News
a href br b Art b without any hesitation,0.0,0.0,Guardian News
Harmless yet effective protest,0.6,0.8,Guardian News
Don 39 t worry guys there was a glass the painting is fine also u should really search who Van Gogh was cus he was soooo not a part of the elite that ur quot fighting quot against,0.30833333333333335,0.35,Guardian News
,0.0,0.0,Guardian News
love this action it is a new generation defining what is value,0.24545454545454545,0.38484848484848483,Guardian News
breh,0.0,0.0,Guardian News
I see the museum world has once again been struck by the evil criminal mastermind that is GIOVANNI POTAGE and his devious SOUP CRIMES,-0.7,0.775,Guardian News
I mean she 39 s not lying though,-0.3125,0.6875,Guardian News
They didn t think this through they r gonna owe so much money,0.2,0.2,Guardian News
Crazy duo,-0.6,0.9,Guardian News
no one br that one man security,0.0,0.0,Guardian News
I hope the painting can be restored and that they go to jail for a long time Smh,-0.07500000000000001,0.2,Guardian News
I feel like half of people over there don 39 t drive anyways,-0.16666666666666666,0.16666666666666666,Guardian News
I 39 m more concerned about the protection of a painting,0.5,0.5,Guardian News
Secure the tea,0.4,0.6,Guardian News
Speechless when I saw this Jail jail vandalism s,-0.1,0.0,Guardian News
typical feminist,-0.16666666666666666,0.5,Guardian News
They can t afford to buy soup Is said by the same girl who wasted a can of tomato soup on a painting,-0.1,0.0625,Guardian News
ORT OR LOIFE,0.0,0.0,Guardian News
She threw the soup they couldn 39 t heat on the painting What 39 s the argument Do they want lower prices or do they not want oil at all,0.0,0.0,Guardian News
quot What is worth more Art or life quot br To be honest art,0.4666666666666666,0.5,Guardian News
Why don 39 t they glue themselves to Al Gore 39 s private jet,0.0,0.375,Guardian News
This video made me stop driving my car and heating my home Thank you for opening my eyes,0.0,0.0,Guardian News
This is why I kinda hate protesters They vandalize things for no reason just to get attention,-0.8,0.9,Guardian News
Yup we can 39 t defeat poverty because instead of working towards a rational solution most would simply complain point fingers and blame society in a quot this must trend on twitter quot manner,0.25,0.4285714285714286,Guardian News
quot What is worth more art or life quot Art,0.4,0.3,Guardian News
Throwing food when people are waiting in food bank ques makes me sick That 39 s wasting food and that 39 s not cool,-0.4446428571428571,0.7535714285714286,Guardian News
Oh wow thank goodness they did this and now the climate crisis is solved along with inflation Brilliant,0.5,1.0,Guardian News
Hopefully they didn 39 t destroy real art,0.0,0.15000000000000002,Guardian News
The quot security quot that is responsible for the protection of these priceless and beautiful works of art should be ashamed of themselves,0.6833333333333332,0.85,Guardian News
The dark haired girl looked like JoJo McDodd from Horton hears a who,-0.15,0.4,Guardian News
Colored hair detected opinion invalidated,0.0,0.0,Guardian News
Pink dyed hair that explains it,-0.1,0.3,Guardian News
STOP OIL NOW,0.0,0.0,Guardian News
They where confetti im pretty sure it was part of it,0.375,0.9444444444444444,Guardian News
Just Stop Oil are mentally ill middle class unemployables who simily hate everyone and dress this up as a cause,-0.43333333333333335,0.6333333333333333,Guardian News
What a silly pointless women really dear try and do something positive bless her,-0.08068181818181819,0.5301136363636363,Guardian News
There are some things you do not protest Weddings and Funerals are at the top of that list For some reason Just Stop Oil do not understand how many people they alienate when they do these things I can 39 t stand George Osbourne he is a prime example of the worst the Tories have to offer but you don 39 t mess with a wedding Its just not on,-0.04375,0.54375,Guardian News
Nobody cares,0.0,0.0,Guardian News
Just Stop Just Stop Oil br These people are looney weirdos,0.0,0.0,Guardian News
They think as if its an act of heroism Shame on her,0.0,0.0,Guardian News
It 39 s actually embarrassing to see this pensioner acting so childishly grinning away as she walks back she had her 30 seconds on infamy now,-0.05,0.225,Guardian News
That 39 s a bitter form of protest br br Just Stop Oil really nasty people,-0.55,0.75,Guardian News
Imagine seeing your nan on tv doing this What is actually wrong with people I m surprised he didn t push that sack of bones to the floor,-0.2,0.9,Guardian News
i quot These people need to get jobs quot i br br But they have jobs this is the job with even a salary,0.0,0.0,Guardian News
Read about the emails,0.0,0.0,Guardian News
Poor bride Imagine having to kiss that horrible slimey man br Well things women do for money,-0.7,0.8,Guardian News
Why do you do such lamentable bitter actions Just Stop Oil Your actions are quite discouraging if you cannot tell giving up on your own ambitions just for public fame Than making a dastardly clamor about it kind of rude but okay sips tea,0.18571428571428572,0.5809523809523809,Guardian News
Unacceptable behaviour from a group living in the outer space with no alternative proposal to build a prosperous and peaceful future for our children br ENOUGH,0.08333333333333333,0.375,Guardian News
His best man made 35 million commission from the Post Office sale Or was it 35 5 M br You mugs,1.0,0.3,Guardian News
why didn 39 t annyone use a mmachete,0.0,0.0,Guardian News
I hope this woman gets addressed,0.0,0.0,Guardian News
,0.0,0.0,Guardian News
Congratulations to the lovely couple How happy they look,0.65,0.875,Guardian News
IF she is a protestor she walks of like a possed nutter,0.0,0.0,Guardian News
Deserved Tory party is a criminal gang,-0.4,0.55,Guardian News
Place her in the stocks and let people throw rotten tomatoes at her,0.0,0.0,Guardian News
Pathetic people who are ego maniacs and just want their 5 mins of fame on the news so they can talk about it with friends with a tea or coffee,-1.0,1.0,Guardian News
This man destroyed the last vestiges of Britain 39 s community life he deserves far far worse than having confetti thrown at him in a just world he and Cameron would be rotting in jail for all the lives ruined by their policies,-0.06000000000000001,0.5333333333333333,Guardian News
Osborne austerity cuts that destroyed the happy day of millions I am voting labour just keep those just stop oil donations flooding in,0.8,1.0,Guardian News
Wow so what did that prove,0.1,1.0,Guardian News
He was probably just pleased someone else but the bride showed up,0.5,1.0,Guardian News
Evil people forcing their ideas on others They are puffed up with pride believing their view of the world trumps all others Arrogance,-1.0,1.0,Guardian News
There needs to be harsher punishments for protesters what if that had of been acid,0.0,0.0,Guardian News
WD40 was used on that old ladies joints Always Use Oil,0.1,0.2,Guardian News
The Orange confetti is nice though Something to tell their grandkids when they r older,0.3833333333333333,0.6666666666666666,Guardian News
Arrest against,-0.05,0.0,Guardian News
Should have been a grenade,0.0,0.0,Guardian News
That was awful they should get married in peace,-0.375,0.625,Guardian News
It was orange confetti Why is this even news,0.0,0.0,Guardian News
Isn 39 t it a criminal offence,-0.4,0.55,Guardian News
Leave the man alone to get married poor form,-0.07500000000000001,0.425,Guardian News
Misinformation they didn 39 t check their statement,0.0,0.0,Guardian News
Oh no Not confetti The tragedy of it all,0.0,0.0,Guardian News
We need a parliamentary bill in place preventing protests outside of places of worship any place of worship Graham Smith of Republic please note The behaviours of his group near York Minster recently bought shame to our nation,0.03333333333333333,0.2333333333333333,Guardian News
Who would want to try and ruin someone s Wedding day These people are just not decent br Arrogant and selfish topped off with being unkind and self righteous,-0.2916666666666667,0.8333333333333333,Guardian News
i dont agree with any of it but i smell double standards was it coz hes a black kid or white old woman doing it im sure she aint gonna be on morgans show,0.08666666666666667,0.3044444444444444,Guardian News
F Hilarious br Before anyone knocks what this lady did just review what this guy did during his time in office before he and his Pm turned there backs on our nation leaving us to the party who have done there worst ever since,-0.25,1.0,Guardian News
Disgusting old people,-0.45,0.6,Guardian News
Isn 39 t that what you do at weddings when they come out or is it just not posh enough for the wealthy English muppets,0.16666666666666666,0.5,Guardian News
wedding is something that potentially happens only once a life and you decided to scar two people 39 s biggest occasion in their lives,0.0,1.0,Guardian News
Silly cow Bet she drove there in her range rover Look at her smug face so excited Bet she went home and fiddled herself silly,-0.18958333333333333,0.6666666666666667,Guardian News
Rediculous woman Pathetic,-1.0,1.0,Guardian News
What a horrible cold hearted dried up little woman that is She won 39 t be able to shake the shame of it off for the rest of her life Wherever she goes people will say quot there goes that horrible cold hearted dried up little woman quot,-0.3861111111111111,0.7583333333333333,Guardian News
She should ve used an egg,0.0,0.0,Guardian News
at Least it was not Paint I can give her a Pass,-0.3,0.4,Guardian News
A non story,0.0,0.0,Guardian News
Too rude,-0.3,0.6,Guardian News
Funny how people are getting hugely upset over this A handful of confetti quot What gives her the right to do this at his wedding quot br What gives him the right to trash the planet we live on poison the air that we breathe Remember who we should be angry at,0.14296536796536796,0.7452380952380953,Guardian News
Wow,0.1,1.0,Guardian News
Oh no Huy got paper on him Oh noes Hope those don 39 t catch fire in the heat,0.0,0.0,Guardian News
Hate the man but it s his wedding day Would have served her right if he had turned around and laid her out A total stranger turns up at my wedding and throws stuff at me harmless or not won t be conscious long enough to regret it What gives her or anyone else the right,-0.025510204081632664,0.5887755102040817,Guardian News
Why is this in the news,0.0,0.0,Guardian News
Did she stop the oil in the end,0.0,0.0,Guardian News
She 39 s sending a message to the world You 39 re not safe from attack even on your wedding day Next time it might be an acid attack or a bomb Still feel safe from these lunatics,0.08333333333333333,0.3333333333333333,Guardian News
He has ruined thousands of small businesses to the benefit of a few big corporations including Oil Companies The Lady as a point,-0.15,0.19999999999999998,Guardian News
honestly just a bunch of loons these oil protestors,0.6,0.9,Guardian News
Deserved tbh,0.0,0.0,Guardian News
If it wasn 39 t for the title of the video i would have thought it was one of the friends or family playing a silly little prank it 39 s orange oil is black i don 39 t get it it 39 s orange oh whatever,-0.2847222222222222,0.6027777777777777,Guardian News
This is a hate crime this is play evil creatures monsters of such humanity,-0.6,0.7999999999999999,Guardian News
He s called Gideon not George,0.0,0.0,Guardian News
how is throwing confetti on a man gonna stop oil i genuinely wanna know her thought process for this,0.4,0.5,Guardian News
What a witch bet her husband if she has one wishes he was dead,-0.2,0.4,Guardian News
Someone should have just ran in and dropkicked the old bag,0.1,0.2,Guardian News
It 39 s got to the point that Just Stop Oil are now the plain old disrespectful and thoughtless villains,-0.057142857142857134,0.2785714285714286,Guardian News
I dont care if she 39 s an old woman would have smashed her teeth out,0.1,0.2,Guardian News
3 seconds in and seeing that grinning banshee on the left I wanted it to be real oil,0.1,0.15000000000000002,Guardian News
How did no one tackle this old bag,0.1,0.2,Guardian News
George ruined lifes he shouldn 39 t get a moment 39 s piece Then maybe the next time one of these Ghouls has the chance they might rethink their actions They want all the power with none of the scrutiny,0.0,0.0,Guardian News
She 39 s the perfect poster child that having white hair has nothing to do with being wise as a senior citizen,0.5666666666666667,0.6333333333333333,Guardian News
Just stop putting people off being environmentally concerned Win friends for looking after the planet not enemies of your uncreative inconveniencing actions,0.8,0.4,Guardian News
Beware of the cute little old lady Mission Impossible could use her We need her at this 11th hour,-0.06354166666666666,0.675,Guardian News
Satisfied Have these MF suggested any opinion how to deal with it or any think else Or they they just wanted some attention,0.5,1.0,Guardian News
Despicable old woman ruining their day Pathetic She needs to have some respect for the bride,-0.45,0.6,Guardian News
No br We do not have to like certain people but this is Not Acceptable,0.21428571428571427,0.5714285714285714,Guardian News
I 39 m presuming she stayed to clear up the mess she created,-0.037499999999999985,0.2791666666666667,Guardian News
That 39 s disgusting it was his wedding day how dare thay do that you wouldn 39 t like it if someone did that to you on your big day,-0.5,0.55,Guardian News
Its not the end of the world is it HA it 39 s just orange confetti and the bride looked stunning but seriously woman George Osborne br Best of luck in they 39 re marriage something to wish all those who take the jump,0.3888888888888889,0.6555555555555556,Guardian News
That woman who threw the confetti should have more respect trying to interrupt a wedding that s ridiculous and achieves nothing,0.08333333333333334,0.75,Guardian News
We should cut off their gas supply come winter time There we have just stopped oil,0.0,0.0,Guardian News
Great to know it wasn 39 t on the road lol,0.8,0.725,Guardian News
That was the peak of her life,0.0,0.0,Guardian News
The woman did nothing wrong,-0.5,0.9,Guardian News
Insane people pretending to have a raison d 39 tre et une cause no respect no dignity so dispecable,-1.0,1.0,Guardian News
Not cool,-0.175,0.65,Guardian News
She needs decking for that,0.0,0.0,Guardian News
She 39 s got no shame Shame on her,0.0,0.0,Guardian News
He deserves it,0.0,0.0,Guardian News
That s disgusting it s the man s wedding day fgs He s not working today save it for a work day if you must target individuals,-1.0,1.0,Guardian News
I didn 39 t know he catered for the ladies,0.0,0.0,Guardian News
Now maybe they would finally do something about those greta cults,0.0,1.0,Guardian News
As if he was unaware that this would occur br The pantomime continues,0.0,0.5,Guardian News
She should have been drop kicked for her trouble,-0.2,0.2,Guardian News
The world will be ruined due to the environmentalists Their hypocrisy and violence are so intense that they destroy the world,-0.041666666666666664,0.4583333333333333,Guardian News
Environmentalists are slaughtering our conscience and peace with their hypocrisy and crime,0.0,0.0,Guardian News
Send all environmentalists to the graves and the world will be clean,0.3666666666666667,0.7000000000000001,Guardian News
The clothes environmentalists wear the food they eat and the transportation they ride are all thanks to the oil company,0.2,0.2,Guardian News
It is the environmentalist that ruins our world and consciousness,-0.15,0.2,Guardian News
The race that ruins the world and consciousness is the environmentalists,-0.15,0.2,Guardian News
This comment section is full of imbecils As if it would make a difference if they harm working class or shell The world economy would literally go bust without Shell It has ben vital at lifting billions of people across the world out of poverty by greatly reducing the cost of oil production Hypocritical double standards and a lack of understanding economics,0.3125,0.42500000000000004,Guardian News
Finally they go into the right place,0.14285714285714285,0.7678571428571428,Guardian News
these climate people are terrorists,0.0,0.0,Guardian News
I don t get why Just Stop Oil wouldn t do this for a protest Oh that s right they don t have the balls to do so,0.2857142857142857,0.5357142857142857,Guardian News
See this is where protestors need to go Not in the middle of the road blocking ordinary people from going to work and throwing soup on old paintings,-0.049999999999999996,0.2333333333333333,Guardian News
Finally bring it to the people reaponsible and not the the every day folk who just want to get on with their day,0.0,1.0,Guardian News
,0.0,0.0,Guardian News
Now that 39 s the way to do it Leave the public alone ffs,0.0,0.06666666666666667,Guardian News
all those suits looked mightly foolish,0.0,0.0,Guardian News
,0.0,0.0,Guardian News
The more they do this the more people really don t gaf about climate change,0.39999999999999997,0.39999999999999997,Guardian News
I kinda wish they were more violent,-0.15000000000000002,0.75,Guardian News
Cringe overload,0.0,0.0,Guardian News
TOUS ENSEMBLE pour la PLAN TE TERRE VIVANTE Notre SEUL MAISON A TOUS,0.0,0.0,Guardian News
,0.0,0.0,Guardian News
theres singing should be noise pollution,0.0,0.0,Guardian News
,0.0,0.0,Guardian News
Hmmm wonder how they they got there,0.0,0.0,Guardian News
Based,0.0,0.0,Guardian News
Every single protester drove to the protest The end,-0.07142857142857142,0.21428571428571427,Guardian News
I prefer this rather than you guys try to barricade the road disrupting people 39 s lives Disrupt the meetings of these greedy oil companies,0.0,0.0,Guardian News
CAN 39 T SEE THIS SONG TOPPING THE CHARTS I PREFERED THE RAY CHARLES VERSION,0.0,0.0,Guardian News
Cringe,0.0,0.0,Guardian News
I wonder if they know that the less cheap energy there is the greater the death rate An exponentially lot more than the climate problem,0.30833333333333335,0.44166666666666665,Guardian News
Agitate agitate agitate br Frederick Douglas,0.0,0.0,Guardian News
Shell must be quaking in their boots after that display br Jeepers,0.0,0.0,Guardian News
,0.0,0.0,Guardian News
theres no solution because without fossils fuels industry would come to a halt there will be no more food or water for humans no work to earn money so ever way where stuffed,-0.25,0.5,Guardian News
Interesting how the comments here are all positive while the ones on the people protesting Desantis are all negative,0.14242424242424243,0.48181818181818176,Guardian News
Get some West Ham down there for security,-0.15555555555555559,0.2888888888888889,Guardian News
Absolutely brilliant We need more of this,0.7,0.75,Guardian News
Tbh I don 39 t hate Shell for their oil I hate then for what they do in the countries where they extract their oil from,-0.8,0.9,Guardian News
Cringing when they sang hit the road Jack,0.0,0.0,Guardian News
Assuming these muppets actually have a job I wonder if they know that their companies Pension Scheme will almost certainly have Shell shares,0.10714285714285714,0.3357142857142857,Guardian News
Brilliant action Shell 39 s profiteering off the climate crisis is indefensible,0.5,0.55,Guardian News
All these protesters are absolutely brain dead hypocrites,0.0,0.65,Guardian News
this is so satisfying to see those big people looking down while they get called out,0.11481481481481481,0.462962962962963,Guardian News
haha posh white people v posh white people Very entertaining The soundtrack was a bit rubbish mind,0.21250000000000002,0.3025,Guardian News
Climat change is joke for stupit people to be more taxes on each head,0.5,0.5,Guardian News
Jso is a joke,0.0,0.0,Guardian News
heroes until more ordinary people start calling out these greedy POSs we won 39 t survive the climate crisis,0.125,0.5,Guardian News
proud of you friends,0.8,1.0,Guardian News
Sauver sapiens Vous tes s rieux,0.0,0.0,Guardian News
The oceans are polluted by rubbish like plastic and many toxic material We need to protect the oceans There is a need to have CCTV cameras on ship to monitor and stop illegal dumping of rubbish from ships,0.0,0.5,Guardian News
Beat 39 em,0.0,0.0,Guardian News
Well that was a successful conference,0.75,0.95,Guardian News
